NAME                                    VERSION                                   TYPE                           
language-pack-an-base                   1:23.10+20231006                          deb                             
language-pack-ar                        1:24.04+20240817                          deb                             
language-pack-ar-base                   1:24.04+20240817                          deb                             
language-pack-as                        1:24.04+20240817                          deb                             
language-pack-as-base                   1:24.04+20240817                          deb                             
language-pack-ast                       1:24.04+20240817                          deb                             
language-pack-ast-base                  1:24.04+20240817                          deb                             
language-pack-az                        1:17.10+20171012                          deb                             
language-pack-az-base                   1:17.10+20171012                          deb                             
language-pack-be                        1:24.04+20240817                          deb                             
language-pack-be-base                   1:24.04+20240817                          deb                             
language-pack-bg                        1:24.04+20240817                          deb                             
language-pack-bg-base                   1:24.04+20240817                          deb                             
language-pack-bn                        1:24.04+20240817                          deb                             
language-pack-bn-base                   1:24.04+20240817                          deb                             
language-pack-br                        1:23.10+20231006                          deb                             
language-pack-br-base                   1:23.10+20231006                          deb                             
language-pack-bs                        1:24.04+20240817                          deb                             
language-pack-bs-base                   1:24.04+20240817                          deb                             
language-pack-ca                        1:24.04+20240817                          deb                             
language-pack-ca-base                   1:24.04+20240817                          deb                             
language-pack-crh                       1:23.10+20231006                          deb                             
language-pack-crh-base                  1:23.10+20231006                          deb                             
language-pack-cs                        1:24.04+20240817                          deb                             
language-pack-cs-base                   1:24.04+20240817                          deb                             
language-pack-cy                        1:23.10+20231006                          deb                             
language-pack-cy-base                   1:23.10+20231006                          deb                             
language-pack-da                        1:24.04+20240817                          deb                             
language-pack-da-base                   1:24.04+20240817                          deb                             
language-pack-de                        1:24.04+20240817                          deb                             
language-pack-de-base                   1:24.04+20240817                          deb                             
language-pack-dz                        1:23.10+20231006                          deb                             
language-pack-dz-base                   1:23.10+20231006                          deb                             
language-pack-el                        1:24.04+20240817                          deb                             
language-pack-el-base                   1:24.04+20240817                          deb                             
language-pack-en                        1:24.04+20240817                          deb                             
language-pack-en-base                   1:24.04+20240817                          deb                             
language-pack-eo                        1:24.04+20240817                          deb                             
language-pack-eo-base                   1:24.04+20240817                          deb                             
language-pack-es                        1:24.04+20240817                          deb                             
language-pack-es-base                   1:24.04+20240817                          deb                             
language-pack-et                        1:24.04+20240817                          deb                             
language-pack-et-base                   1:24.04+20240817                          deb                             
language-pack-eu                        1:24.04+20240817                          deb                             
language-pack-eu-base                   1:24.04+20240817                          deb                             
language-pack-fa                        1:24.04+20240817                          deb                             
language-pack-fa-base                   1:24.04+20240817                          deb                             
language-pack-fi                        1:24.04+20240817                          deb                             
language-pack-fi-base                   1:24.04+20240817                          deb                             
language-pack-fr                        1:24.04+20240817                          deb                             
language-pack-fr-base                   1:24.04+20240817                          deb                             
language-pack-fur                       1:24.04+20240817                          deb                             
language-pack-fur-base                  1:24.04+20240817                          deb                             
language-pack-ga                        1:23.10+20231006                          deb                             
language-pack-ga-base                   1:23.10+20231006                          deb                             
language-pack-gd                        1:24.04+20240817                          deb                             
language-pack-gd-base                   1:24.04+20240817                          deb                             
language-pack-gl                        1:24.04+20240817                          deb                             
language-pack-gl-base                   1:24.04+20240817                          deb                             
language-pack-gu                        1:24.04+20240817                          deb                             
language-pack-gu-base                   1:24.04+20240817                          deb                             
language-pack-he                        1:24.04+20240817                          deb                             
language-pack-he-base                   1:24.04+20240817                          deb                             
language-pack-hi                        1:24.04+20240817                          deb                             
language-pack-hi-base                   1:24.04+20240817                          deb                             
language-pack-hr                        1:24.04+20240817                          deb                             
language-pack-hr-base                   1:24.04+20240817                          deb                             
language-pack-hu                        1:24.04+20240817                          deb                             
language-pack-hu-base                   1:24.04+20240817                          deb                             
language-pack-ia                        1:23.10+20231006                          deb                             
language-pack-ia-base                   1:23.10+20231006                          deb                             
language-pack-id                        1:24.04+20240817                          deb                             
language-pack-id-base                   1:24.04+20240817                          deb                             
language-pack-is                        1:24.04+20240817                          deb                             
language-pack-is-base                   1:24.04+20240817                          deb                             
language-pack-it                        1:24.04+20240817                          deb                             
language-pack-it-base                   1:24.04+20240817                          deb                             
language-pack-ja                        1:24.04+20240817                          deb                             
language-pack-ja-base                   1:24.04+20240817                          deb                             
language-pack-ka                        1:24.04+20240817                          deb                             
language-pack-ka-base                   1:24.04+20240817                          deb                             
language-pack-kk                        1:24.04+20240817                          deb                             
language-pack-kk-base                   1:24.04+20240817                          deb                             
language-pack-km                        1:24.04+20240817                          deb                             
language-pack-km-base                   1:24.04+20240817                          deb                             
language-pack-kn                        1:24.04+20240817                          deb                             
language-pack-kn-base                   1:24.04+20240817                          deb                             
